power	voltage	current	rpm	windSpeed	pitchAngle	temperature	ambientPressure	humidity	accelerationX	accelerationY	accelerationZ	currentSink	timestamp
0	2004	0	2444	76	200	230	101300000	1000	0	0	-1	0	255689996
0	2000	0	2450	76	200	230	101300000	1000	0	0	-1	0	255702556
0	2034	0	2416	76	200	230	101300000	1000	0	0	-1	0	255715116
0	2057	0	2430	76	200	230	101300000	1000	0	0	-1	0	255727676
0	2042	0	2441	76	200	230	101300000	1000	0	0	-1	0	255740236
0	2039	0	2446	76	200	230	101300000	1000	0	0	-1	0	255752796
2.075	2075	1	2422	76	200	230	101300000	1000	0	0	-1	0	255765356
0	2073	0	2437	76	200	230	101300000	1000	0	0	-1	0	255777916
0	2076	0	2425	76	200	230	101300000	1000	0	0	-1	0	255790476
0	2092	0	2421	76	200	230	101300000	1000	0	0	-1	0	255803036
0	2016	0	2440	76	200	230	101300000	1000	0	0	-1	0	255815596
0	2059	0	2419	76	200	230	101300000	1000	0	0	-1	0	255828156
0	2046	0	2416	76	200	230	101300000	1000	0	0	-1	0	255840716
0	2073	0	2444	76	200	230	101300000	1000	0	0	-1	0	255853276
8.328	2082	4	2416	76	200	230	101300000	1000	0	0	-1	0	255865836
0	2108	0	2434	76	200	230	101300000	1000	0	0	-1	0	255878396
6.246	2082	3	2428	76	200	230	101300000	1000	0	0	-1	0	255890956
0	2121	0	2433	76	200	230	101300000	1000	0	0	-1	0	255903516
0	2112	0	2437	76	200	230	101300000	1000	0	0	-1	0	255916076
0	2101	0	2425	76	200	230	101300000	1000	0	0	-1	0	255928636
0	2120	0	2421	76	200	230	101300000	1000	0	0	-1	0	255941196
0	2058	0	2440	76	200	230	101300000	1000	0	0	-1	0	255953756
0	2083	0	2422	76	200	230	101300000	1000	0	0	-1	0	255966316
0	2050	0	2434	76	200	230	101300000	1000	0	0	-1	0	255978876
0	2053	0	2425	76	200	230	101300000	1000	0	0	-1	0	255991436
0	2069	0	2436	76	200	230	101300000	1000	0	0	-1	0	256003996
0	2116	0	2427	76	200	230	101300000	1000	0	0	-1	0	256016556
0	2064	0	2440	76	200	230	101300000	1000	0	0	-1	0	256029116
0	2080	0	2430	76	200	230	101300000	1000	0	0	-1	0	256041676
0	2104	0	2433	76	200	230	101300000	1000	0	0	-1	0	256054236
6.3	2100	3	2431	76	200	230	101300000	1000	0	0	-1	0	256066796
0	2046	0	2431	76	200	230	101300000	1000	0	0	-1	0	256079356
0	2075	0	2425	76	200	230	101300000	1000	0	0	-1	0	256091916
0	2055	0	2427	76	200	230	101300000	1000	0	0	-1	0	256104476
0	2051	0	2434	76	200	230	101300000	1000	0	0	-1	0	256117036
0	2030	0	2438	76	200	230	101300000	1000	0	0	-1	0	256129596
0	2080	0	2418	76	200	230	101300000	1000	0	0	-1	0	256142156
0	2042	0	2425	76	200	230	101300000	1000	0	0	-1	0	256154716
6.117	2039	3	2438	76	200	230	101300000	1000	0	0	-1	0	256167276
0	2042	0	2427	76	200	230	101300000	1000	0	0	-1	0	256179836
0	2071	0	2419	76	200	230	101300000	1000	0	0	-1	0	256192396
6.102	2034	3	2431	76	200	230	101300000	1000	0	0	-1	0	256204956
0	2056	0	2428	76	200	230	101300000	1000	0	0	-1	0	256217516
0	2020	0	2430	76	200	230	101300000	1000	0	0	-1	0	256230076
6.015	2005	3	2421	76	200	230	101300000	1000	0	0	-1	0	256242636
0	1982	0	2431	76	200	230	101300000	1000	0	0	-1	0	256255196
0	2019	0	2419	76	200	230	101300000	1000	0	0	-1	0	256267756
0	2000	0	2437	76	200	230	101300000	1000	0	0	-1	0	256280316
0	2021	0	2441	76	200	230	101300000	1000	0	0	-1	0	256292876
0	2050	0	2414	76	200	230	101300000	1000	0	0	-1	0	256305436
6.126	2042	3	2430	76	200	230	101300000	1000	0	0	-1	0	256317996
6.12	2040	3	2427	76	200	230	101300000	1000	0	0	-1	0	256330556
0	2036	0	2427	76	200	230	101300000	1000	0	0	-1	0	256343116
0	2048	0	2430	76	200	230	101300000	1000	0	0	-1	0	256355676
0	2031	0	2411	76	200	230	101300000	1000	0	0	-1	0	256368236
0	2036	0	2424	76	200	230	101300000	1000	0	0	-1	0	256380796
3.948	1974	2	2430	76	200	230	101300000	1000	0	0	-1	0	256393356
0	2043	0	2424	76	200	230	101300000	1000	0	0	-1	0	256405916
0	2039	0	2425	76	200	230	101300000	1000	0	0	-1	0	256418476
4.068	2034	2	2411	76	200	230	101300000	1000	0	0	-1	0	256431036
0	2012	0	2437	76	200	230	101300000	1000	0	0	-1	0	256443596
0	2039	0	2428	76	200	230	101300000	1000	0	0	-1	0	256456156
6.213	2071	3	2414	76	200	230	101300000	1000	0	0	-1	0	256468716
0	2063	0	2424	76	200	230	101300000	1000	0	0	-1	0	256481276
0	2085	0	2427	76	200	230	101300000	1000	0	0	-1	0	256493836
0	2042	0	2428	76	200	230	101300000	1000	0	0	-1	0	256506396
8.284	2071	4	2415	76	200	230	101300000	1000	0	0	-1	0	256518956
0	2065	0	2412	76	200	230	101300000	1000	0	0	-1	0	256531516
0	2031	0	2444	76	200	230	101300000	1000	0	0	-1	0	256544076
2.027	2027	1	2409	76	200	230	101300000	1000	0	0	-1	0	256556636
0	2067	0	2422	76	200	230	101300000	1000	0	0	-1	0	256569196
0	2056	0	2424	76	200	230	101300000	1000	0	0	-1	0	256581756
6.249	2083	3	2428	76	200	230	101300000	1000	0	0	-1	0	256594316
0	2075	0	2427	76	200	230	101300000	1000	0	0	-1	0	256606876
0	2079	0	2424	76	200	230	101300000	1000	0	0	-1	0	256619436
0	2105	0	2434	76	200	230	101300000	1000	0	0	-1	0	256631996
4.242	2121	2	2412	76	200	230	101300000	1000	0	0	-1	0	256644556
0	2116	0	2437	76	200	230	101300000	1000	0	0	-1	0	256657116
0	2085	0	2421	76	200	230	101300000	1000	0	0	-1	0	256669676
2.087	2087	1	2436	76	200	230	101300000	1000	0	0	-1	0	256682236
0	2078	0	2414	76	200	230	101300000	1000	0	0	-1	0	256694796
0	2068	0	2440	76	200	230	101300000	1000	0	0	-1	0	256707356
0	2040	0	2412	76	200	230	101300000	1000	0	0	-1	0	256719916
4.142	2071	2	2416	76	200	230	101300000	1000	0	0	-1	0	256732476
0	2044	0	2437	76	200	230	101300000	1000	0	0	-1	0	256745036
0	2088	0	2416	76	200	230	101300000	1000	0	0	-1	0	256757596
0	2067	0	2433	76	200	230	101300000	1000	0	0	-1	0	256770156
0	2069	0	2424	76	200	230	101300000	1000	0	0	-1	0	256782716
0	2085	0	2430	76	200	230	101300000	1000	0	0	-1	0	256795276
0	2106	0	2419	76	200	230	101300000	1000	0	0	-1	0	256807836
0	2082	0	2443	76	200	230	101300000	1000	0	0	-1	0	256820396
0	2070	0	2424	76	200	230	101300000	1000	0	0	-1	0	256832956
0	2054	0	2428	76	200	230	101300000	1000	0	0	-1	0	256845516
0	2049	0	2431	76	200	230	101300000	1000	0	0	-1	0	256858076
4.022	2011	2	2411	76	200	230	101300000	1000	0	0	-1	0	256870636
0	2032	0	2428	76	200	230	101300000	1000	0	0	-1	0	256883196
0	2005	0	2437	76	200	230	101300000	1000	0	0	-1	0	256895756
0	2051	0	2414	76	200	230	101300000	1000	0	0	-1	0	256908316
0	2034	0	2412	76	200	230	101300000	1000	0	0	-1	0	256920876
0	2068	0	2427	76	200	230	101300000	1000	0	0	-1	0	256933436
123.692	1819	68	2400	76	200	230	101300000	1000	0	0	-1	50	264592596
133.2	1800	74	2389	76	200	230	101300000	1000	0	0	-1	50	264605156
126.7	1810	70	2399	76	200	230	101300000	1000	0	0	-1	50	264617716
128.013	1803	71	2393	76	200	230	101300000	1000	0	0	-1	50	264630276
124.959	1811	69	2399	76	200	230	101300000	1000	0	0	-1	50	264642836
124.407	1803	69	2390	76	200	230	101300000	1000	0	0	-1	50	264655396
129.6	1800	72	2396	76	200	230	101300000	1000	0	0	-1	50	264667956
125.718	1822	69	2405	76	200	230	101300000	1000	0	0	-1	50	264680516
134.014	1811	74	2392	76	200	230	101300000	1000	0	0	-1	50	264693076
127.098	1842	69	2392	76	200	230	101300000	1000	0	0	-1	50	264705636
134.925	1799	75	2396	76	200	230	101300000	1000	0	0	-1	50	264718196
121.806	1818	67	2403	76	200	230	101300000	1000	0	0	-1	50	264730756
129.646	1826	71	2390	76	200	230	101300000	1000	0	0	-1	50	264743316
121.806	1818	67	2393	76	200	230	101300000	1000	0	0	-1	50	264755876
129.788	1828	71	2396	76	200	230	101300000	1000	0	0	-1	50	264768436
128.94	1842	70	2396	76	200	230	101300000	1000	0	0	-1	50	264780996
131.688	1829	72	2399	76	200	230	101300000	1000	0	0	-1	50	264793556
129.099	1871	69	2392	76	200	230	101300000	1000	0	0	-1	50	264806116
127.167	1843	69	2395	76	200	230	101300000	1000	0	0	-1	50	264818676
133.056	1848	72	2393	76	200	230	101300000	1000	0	0	-1	50	264831236
130.34	1862	70	2400	76	200	230	101300000	1000	0	0	-1	50	264843796
135.707	1859	73	2392	76	200	230	101300000	1000	0	0	-1	50	264856356
125.596	1847	68	2393	76	200	230	101300000	1000	0	0	-1	50	264868916
124.508	1831	68	2400	76	200	230	101300000	1000	0	0	-1	50	264881476
137.788	1862	74	2393	76	200	230	101300000	1000	0	0	-1	50	264894036
136.296	1893	72	2392	76	200	230	101300000	1000	0	0	-1	50	264906596
126.412	1859	68	2395	76	200	230	101300000	1000	0	0	-1	50	264919156
123.481	1843	67	2390	76	200	230	101300000	1000	0	0	-1	50	264931716
141.36	1860	76	2397	76	200	230	101300000	1000	0	0	-1	50	264944276
132.09	1887	70	2389	76	200	230	101300000	1000	0	0	-1	50	264956836
130.06	1858	70	2396	76	200	230	101300000	1000	0	0	-1	50	264969396
131.832	1831	72	2400	76	200	230	101300000	1000	0	0	-1	50	264981956
137.788	1862	74	2395	76	200	230	101300000	1000	0	0	-1	50	264994516
131.81	1883	70	2392	76	200	230	101300000	1000	0	0	-1	50	265007076
133.764	1884	71	2396	76	200	230	101300000	1000	0	0	-1	50	265019636
138.6	1848	75	2396	76	200	230	101300000	1000	0	0	-1	50	265032196
127.16	1870	68	2400	76	200	230	101300000	1000	0	0	-1	50	265044756
132.02	1886	70	2387	76	200	230	101300000	1000	0	0	-1	50	265057316
124.084	1852	67	2405	76	200	230	101300000	1000	0	0	-1	50	265069876
130.711	1841	71	2392	76	200	230	101300000	1000	0	0	-1	50	265082436
124.754	1862	67	2399	76	200	230	101300000	1000	0	0	-1	50	265094996
125.136	1896	66	2389	76	200	230	101300000	1000	0	0	-1	50	265107556
135.642	1833	74	2397	76	200	230	101300000	1000	0	0	-1	50	265120116
125.718	1822	69	2402	76	200	230	101300000	1000	0	0	-1	50	265132676
137.64	1860	74	2390	76	200	230	101300000	1000	0	0	-1	50	265145236
123.883	1849	67	2392	76	200	230	101300000	1000	0	0	-1	50	265157796
133.125	1875	71	2399	76	200	230	101300000	1000	0	0	-1	50	265170356
129.646	1826	71	2402	76	200	230	101300000	1000	0	0	-1	50	265182916
127.788	1852	69	2393	76	200	230	101300000	1000	0	0	-1	50	265195476
136.53	1845	74	2395	76	200	230	101300000	1000	0	0	-1	50	265208036
128.8	1840	70	2397	76	200	230	101300000	1000	0	0	-1	50	265220596
138.677	1801	77	2402	76	200	230	101300000	1000	0	0	-1	50	265233156
122.945	1835	67	2392	76	200	230	101300000	1000	0	0	-1	50	265245716
128.66	1838	70	2392	76	200	230	101300000	1000	0	0	-1	50	265258276
124.89	1810	69	2405	76	200	230	101300000	1000	0	0	-1	50	265270836
129.816	1803	72	2395	76	200	230	101300000	1000	0	0	-1	50	265283396
126.822	1838	69	2395	76	200	230	101300000	1000	0	0	-1	50	265295956
136.95	1826	75	2390	76	200	230	101300000	1000	0	0	-1	50	265308516
131.46	1878	70	2397	76	200	230	101300000	1000	0	0	-1	50	265321076
135.975	1813	75	2405	76	200	230	101300000	1000	0	0	-1	50	265333636
127.443	1847	69	2396	76	200	230	101300000	1000	0	0	-1	50	265346196
143.22	1860	77	2384	76	200	230	101300000	1000	0	0	-1	50	265358756
122.034	1849	66	2399	76	200	230	101300000	1000	0	0	-1	50	265371316
140.025	1867	75	2399	76	200	230	101300000	1000	0	0	-1	50	265383876
119.795	1843	65	2395	76	200	230	101300000	1000	0	0	-1	50	265396436
129.168	1872	69	2392	76	200	230	101300000	1000	0	0	-1	50	265408996
127.032	1896	67	2393	76	200	230	101300000	1000	0	0	-1	50	265421556
143.682	1866	77	2400	76	200	230	101300000	1000	0	0	-1	50	265434116
129.168	1872	69	2395	76	200	230	101300000	1000	0	0	-1	50	265446676
133.551	1881	71	2395	76	200	230	101300000	1000	0	0	-1	50	265459236
129.54	1905	68	2393	76	200	230	101300000	1000	0	0	-1	50	265471796
128.588	1891	68	2405	76	200	230	101300000	1000	0	0	-1	50	265484356
131.918	1858	71	2393	76	200	230	101300000	1000	0	0	-1	50	265496916
126.956	1867	68	2393	76	200	230	101300000	1000	0	0	-1	50	265509476
